Category,Location,Incident,Date/Time
Catcalls/Whistles,"18, Jalan SS 15/4, Ss 15, 47500 Subang Jaya, Selangor, Malaysia"," I was walking to my car and 2 guys driving past winded down their window & whistled at me and said I love you. I ignored them and walked off.  
						  More Information »
« Less Information
","21:00 Aug 14, 2019"
Taking pictures,"197, Jalan 8/1, Seksyen 8, 43650 Bandar Baru Bangi, Selangor, Malaysia"," at first he was playing his phone (games). but then he started to look at me. at the time he start to recorded me, i know because the way he...  
						  More Information »
« Less Information
","14:00 Aug 12, 2019"
Commenting,"Ss 13, 47500 Subang Jaya, Selangor, Malaysia"," was waiting to cross the road at the traffic light. The man was in a lorry & he stopped and started commenting about my outfit.  
						  More Information »
« Less Information
","13:00 Aug 11, 2019"
Catcalls/Whistles,"40450 Shah Alam, Selangor, Malaysia"," I was walking home from a camp and someone from the college i was walking pass started making weird comments  
						  More Information »
« Less Information
","10:00 Aug 10, 2019"
Catcalls/Whistles,"25, Jalan PJS 11/24, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia"," the mechanics working at the car shops often catcall my friends and i whenever we walk pass by and most of the times they stare for a while...  
						  More Information »
« Less Information
","16:00 Aug 03, 2019"
Commenting,"24, Ramakanta Mistri Ln, Cossipore, Newland, College Square, Kolkata, West Bengal 700073, India"," I reported it to my parents and they had to get my dentist changed  
						  More Information »
« Less Information
","11:00 Aug 02, 2019"
Ogling/Facial Expressions/Staring,"5501 S Ashland Ave, Chicago, IL 60636, USA"," Non-transit-user asking personal/contact information (name, in school, where/what studying, etc), only ceased when learned I had a [pretend]...  
						  More Information »
« Less Information
","17:00 Jul 31, 2019"
Indecent exposure,"Frere Bridge, Grant Road West, Zoroastrian Colony, Grant Road, Mumbai, Maharashtra 400007"," I was walking on the skywalk of the Grant Road Railway Station when a man unzipped his pants, popped out his penis and dangled it in front of...  
						  More Information »
« Less Information
","20:30 Jul 10, 2019"
Catcalls/Whistles,"Stesen Sentral Kuala Lumpur, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"," walked pass a group of guys, catcalls and called us to go back, constant whistles. We sprinted across after  
						  More Information »
« Less Information
","14:00 Jul 10, 2019"
Taking pictures,"Jalan Jelatek, 54200 Kuala Lumpur, Selangor, Malaysia"," The coloured guy straight up held his phone in front of my face and took some pictures. After he has done that he stared at me for a long time....  
						  More Information »
« Less Information
","10:00 Jul 10, 2019"
Stalking,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia"," Too many times to count honestly. One time a person came up to me and was standing too close for comfort and I went by him and he started following...  
						  More Information »
« Less Information
","19:00 Jul 05, 2019"
Indecent exposure,"42 7th Ave, Brooklyn, NY 11217, USA"," Man with no pants.  
						  More Information »
« Less Information
","15:00 Jul 02, 2019"
Catcalls/Whistles,"8, Jalan SS 13/6, Subang Jaya Industrial Estate, 47500 Subang Jaya, Selangor, Malaysia"," I was walking to work when I heard a man cat-called from a building nearby. Another man also whistled and greeted me under his breath within...  
						  More Information »
« Less Information
","13:00 Jul 02, 2019"
Ogling/Facial Expressions/Staring,"Unnamed Road, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064, India"," Groped on a bus  
						  More Information »
« Less Information
","16:00 Jun 14, 2019"
Touching /Groping,"36, K8, Bandar Alor Setar, 05460 Alor Setar, Kedah, Malaysia"," My colleague pernah raba i waktu dalam kereta masa kami otw utk buat kerja malam malam. But he doesnt feel bad about it and even ask for a kiss...  
						  More Information »
« Less Information
","23:00 Jun 12, 2019"
Catcalls/Whistles,"19, Jalan Khatib Koyan, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," Was on the way back home and i saw a bunch of middle aged men sitting around a table , i took out my phone just so i looked busy in case and...  
						  More Information »
« Less Information
","11:00 Jun 10, 2019"
Catcalls/Whistles,"Jalan Raya Barat, Kawasan 1, 41100 Klang, Selangor, Malaysia"," While walking, with friends,  always get catcalls  
						  More Information »
« Less Information
","18:00 Jun 02, 2019"
Touching /Groping,"3, Jalan Aluminium 7/27, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia"," Not touching by hand but he touch by pen at my back parts  
						  More Information »
« Less Information
","12:00 Jun 02, 2019"
Touching /Groping,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," My school auto driver always use to stare at me or try to talk to me whenever I alone in auto. He also tries to touch me. I complained it to...  
						  More Information »
« Less Information
","15:00 May 27, 2019"
Catcalls/Whistles,"Near Nissan Showroom, Bailey Rd, Patna, Bihar 801503, India"," I was in market with my mom. There I saw a man was sitting beside a shop and he was continuously staring a girl. After sometime he started whistling...  
						  More Information »
« Less Information
","19:00 May 17, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a girl whom boys have been writing a letter to her and putting in her bag  
						  More Information »
« Less Information
","15:03 May 15, 2019"
Touching /Groping,"Wisma Central, 147, Jalan Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," While I was standing in the lrt station, I felt someone grabbed my back firmly. My girlfriend told me that it was a guy.  
						  More Information »
« Less Information
","17:00 May 14, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is  a girl who is being disturbed y a boy in the school  
						  More Information »
« Less Information
","14:13 May 14, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
","14:45 May 13, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
","14:45 May 13, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
","14:45 May 13, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
","14:45 May 13, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him  
						  More Information »
« Less Information
","14:45 May 13, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a teacher who likes touching a girl on the breast  
						  More Information »
« Less Information
","14:21 May 13, 2019"
Stalking,"Griekwastad, South Africa"," guy just started following me  
						  More Information »
« Less Information
","14:00 May 13, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," A girl is asking if a boy comes to your house so that they can do assignment together  
						  More Information »
« Less Information
","11:23 May 13, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," A girl is asking if a boy comes to your house so that they can do assignment together  
						  More Information »
« Less Information
","11:23 May 13, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," There is a girl who is being forced by a boy to love him but she is against it,he even threatens to kill her if she don,t do so  
						  More Information »
« Less Information
","10:58 May 13, 2019"
Catcalls/Whistles,"281 Church St, Pietermaritzburg, 3201, South Africa"," Was walking by the town library  
						  More Information »
« Less Information
","07:00 May 13, 2019"
Catcalls/Whistles,"281 Church St, Pietermaritzburg, 3201, South Africa"," Was walking by the town library  
						  More Information »
« Less Information
","07:00 May 13, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," there is a girl who is in love with boy but the boy does not know  
						  More Information »
« Less Information
","11:52 May 10, 2019"
Chain Snatching / Robbery,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," A group of boys came on their bike and snatched one lady's purse and ran away  
						  More Information »
« Less Information
","18:29 May 07, 2019"
Chain Snatching / Robbery,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," My mother and aunt was going to market, while returning from there. Two man came on bike and snatched my mother's chain  
						  More Information »
« Less Information
","17:00 May 07, 2019"
Catcalls/Whistles,"34, Jalan PJS 11/22, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia"," walking around the shopping lots with some girlfriends when a group of men catcalled us  
						  More Information »
« Less Information
","16:00 May 06, 2019"
Stalking,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," A boy was following me while I was coming back from school.  
						  More Information »
« Less Information
","13:00 May 01, 2019"
Stalking,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," My sister and I was going to eat golgappa and a boy was commenting and intentionally bumping into my cousin.  
						  More Information »
« Less Information
","17:00 Apr 17, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," a girl was sent    to shop and met a man on her way who wanted to rape her and screamed for help as she was running  
						  More Information »
« Less Information
","14:53 Apr 17, 2019"
Touching /Groping,"15-61, Ranganathan St, Postal Colony, T Nagar, Chennai, Tamil Nadu 600017, India"," this happened long ago but cannot forget it. The fellow was behind me when he kept touching my butt and around. month day time are approximate  
						  More Information »
« Less Information
","16:15 Apr 13, 2019"
Stalking,"Padang Besar MPK, Jalan Bukit Ubi, Kompleks Pentadbiran Kerajaan Negeri Pahang, 25200 Kuantan, Pahang, Malaysia"," The bank was near my hotel. Me and my friend wanted to draw our money before heading back to hotel after dinner. Everything was fine except...  
						  More Information »
« Less Information
","14:00 Apr 10, 2019"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," A man threatened a girl that he will end her life if she does not accept to be his woman  
						  More Information »
« Less Information
","12:00 Apr 10, 2019"
Sexual Invites,"Kibera slums, Nairobi, Kenya"," A girl was walking home and a man tried to hold her by force  
						  More Information »
« Less Information
","18:00 Apr 09, 2019"
Ogling/Facial Expressions/Staring,"danapur gola road, Bihar 801503, India"," One day I was playing in garden of my house. My friend called me she used to live on the next side of the road. A boy started making faces at...  
						  More Information »
« Less Information
","17:04 Apr 09, 2019"
Commenting,"308,DLF South Court, Saket"," During the course of the interview the MD asked me Inappropriate questions like "" what would you do if some man touches you when you are walking...  
						  More Information »
« Less Information
","17:00 Apr 09, 2019"
Catcalls/Whistles,"Kibera slum, Nairobi, Kenya"," Young men commenting on a girl with a short skirts; sexy, hot  
						  More Information »
« Less Information
","15:17 Apr 03, 2019"
Touching /Groping,"Gola Rd, Bank Colony, Chanakya Puri, Danapur Nizamat, Danapur, Bihar 801503, India"," A Man was touching my hand when I was travelling in public auto. When I asked why are doing this he clearly refused and pretended to be innocent.  
						  More Information »
« Less Information
","14:00 Apr 03, 2019"
Touching /Groping,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," One day I saw a man was, snatching one lady's dupatta. And no one was helping her  
						  More Information »
« Less Information
","16:00 Mar 23, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a boy ho loves a girl and the girl does not love him and she is asking what should she do?  
						  More Information »
« Less Information
","12:56 Mar 21, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," There is a girl who is who is being disturbed by a boy who and he even wants to touch her private parts, she is only twelve years and he even...  
						  More Information »
« Less Information
","15:24 Mar 20, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is  a boy who disturbs a certain girl in school and even follows him when she goes to the toilet,she is afraid of telling her parents...  
						  More Information »
« Less Information
","17:00 Mar 14, 2019"
Sexual Invites,"Olympic Estate, Nairobi, Kenya"," girls are complaining that they are being caned on the buttocks and it is against Kenyan law  
						  More Information »
« Less Information
","14:00 Mar 13, 2019"
Sexual Invites,"Olympic Estate, Nairobi, Kenya"," girls are complaining that they are being caned on the buttocks and it is against Kenyan law  
						  More Information »
« Less Information
","14:00 Mar 13, 2019"
Touching /Groping,"40, Jalan Medan Setia, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," Butt was groped when going out of the bus  
						  More Information »
« Less Information
","17:00 Mar 10, 2019"
Indecent exposure,"Cheras, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"," He was in a car, when I was just walking beside the road, he stopped 2m infront of me, waited until I walked beside his car, he rolled down...  
						  More Information »
« Less Information
","13:00 Mar 07, 2019"
Catcalls/Whistles,"Olympic Estate, Nairobi, Kenya"," a boy in class seven is calling a girl his sweet baby  
						  More Information »
« Less Information
","11:38 Mar 06, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," there is a boy who is disturbing a girl in the same class  
						  More Information »
« Less Information
","11:03 Mar 06, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," there is a boy who is disturbing a girl in the same class  
						  More Information »
« Less Information
","11:03 Mar 06, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," everyday when a girl has been sent to the shop she is being disturbs y a man  
						  More Information »
« Less Information
","11:03 Mar 06, 2019"
Commenting,"Kibera slum, Nairobi, Kenya"," A grade six boy calling a girl sweet baby every time she passes  
						  More Information »
« Less Information
","11:02 Mar 06, 2019"
Commenting,"Kibera slum, Nairobi, Kenya"," A grade six boy calling a girl sweet baby every time she passes  
						  More Information »
« Less Information
","11:02 Mar 06, 2019"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," a girl is complaining that they are being caned on the buttocks thoroughly by one of the teachers  
						  More Information »
« Less Information
","10:29 Mar 06, 2019"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," A teacher caining/beating  girls on buttocks  
						  More Information »
« Less Information
","01:02 Mar 06, 2019"
Catcalls/Whistles,"3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia"," not me, but a close friend of mine and i was there. some guys were lounging at the car park and kept hooting and hollering while making crude...  
						  More Information »
« Less Information
","13:00 Mar 01, 2019"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," A older boy disturbing girls always touching them.  
						  More Information »
« Less Information
","16:00 Feb 28, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a  boy who likes disturbing a girl and even follows her everywhere she goes  
						  More Information »
« Less Information
","13:15 Feb 27, 2019"
Ogling/Facial Expressions/Staring,"2, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"," I was accompanying my brother to smoke, and the stares from the males made me feel uncomfortable  
						  More Information »
« Less Information
","19:00 Feb 20, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," a boy is following a girl in  the same school  
						  More Information »
« Less Information
","19:00 Feb 17, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," a girl was in a relationship with a boy,and they break up due to how people are talking about there relationships then,the boy started bullying...  
						  More Information »
« Less Information
","16:00 Feb 14, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," there is a man who is forcing a a girl to love him and she do not want and even threatens to kill her with an axe, panga or knife if she don,t...  
						  More Information »
« Less Information
","16:00 Feb 14, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," a girl is complaining that she is being disturbed by a boy  
						  More Information »
« Less Information
","13:26 Feb 12, 2019"
Catcalls/Whistles,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"," A girl senior from me who lived in my apartment was harassed by group of boys. Everdag they form a group with their bike and harass her by whistling,...  
						  More Information »
« Less Information
","14:00 Feb 10, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a man who like following following a girl and she is afraid of telling her parents  
						  More Information »
« Less Information
","14:57 Feb 05, 2019"
Indecent exposure,"Laini Saba, Nairobi, Kenya"," prefects two are in love in the same class and they make a lot of  noise when in class ,they even go to the toilet together  
						  More Information »
« Less Information
","13:00 Feb 05, 2019"
Rape / Sexual Assault,"joysprings school,kibera nairobi"," A girl was defiled or raped with three  men  for three days and was almost dying because of the pain she undergone but got pregnant but she...  
						  More Information »
« Less Information
","13:58 Jan 25, 2019"
Touching /Groping,"joysprings school,kibera nairobi"," a girl is being harassed with boys they touch her on the private parts and if she refuses they beat her up and threaten her up  
						  More Information »
« Less Information
","13:49 Jan 25, 2019"
Touching /Groping,"joysprings school,kibera nairobi"," some boys like pulling and touching a girl in a corridor when she has been sent to the shop  
						  More Information »
« Less Information
","13:46 Jan 25, 2019"
Sexual Invites,"joysprings school,kibera nairobi"," A girl is being forced to have sex with her biological farther and she is requesting for help  
						  More Information »
« Less Information
","13:38 Jan 25, 2019"
Sexual Invites,"joysprings school,kibera nairobi"," A girl is being  forced to have sex with her uncle so that he can buy sanitary towels for the girl  
						  More Information »
« Less Information
","13:29 Jan 25, 2019"
Touching /Groping,Olympic Kibera nairobi," There are some boys who like touching girls on the buttocks and breast  
						  More Information »
« Less Information
","13:15 Jan 25, 2019"
Touching /Groping,Olympic Kibera nairobi," there are some boys who normally wait for a girl when she is from school and want to touch her breast.They told  her if she refuses they will...  
						  More Information »
« Less Information
","13:09 Jan 25, 2019"
Rape / Sexual Assault,"Karanja Road, Kibera, Nairobi"," A young woman going to Toi market was raped at Karanja Road  
						  More Information »
« Less Information
","13:31 Jan 24, 2019"
Rape / Sexual Assault,Olympic Kibera," a girl was forced to have sex  
						  More Information »
« Less Information
","13:31 Jan 22, 2019"
Catcalls/Whistles,Olympic Kibera nairobi," some boys do call a girl wherever they meet her and they also run after her  but the girl usually hide where she cant be seen by them and the...  
						  More Information »
« Less Information
","13:13 Jan 22, 2019"
Sexual Invites,Olympic Kibera nairobi," a girl is asking  that is it right to have sex when you are in your menses  
						  More Information »
« Less Information
","13:01 Jan 22, 2019"
Sexual Invites,"Laini Saba, Nairobi, Kenya"," there is a boy who like disturbing a girl and her friends and they do not know what  he is after  
						  More Information »
« Less Information
","12:15 Jan 11, 2019"
Sexual Invites,"Makina, Nairobi, Kenya"," there is a boy  who follows a girl when she is from school and even if the girl runs he follows her  
						  More Information »
« Less Information
","13:01 Jan 07, 2019"
Touching /Groping,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"," A middle aged guy groped in bus  
						  More Information »
« Less Information
","18:00 Dec 15, 2018"
Touching /Groping,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"," A middle aged guy groped me in bus  
						  More Information »
« Less Information
","18:00 Dec 15, 2018"
Touching /Groping,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"," A middle aged guy groped me in bus  
						  More Information »
« Less Information
","18:00 Dec 15, 2018"
Touching /Groping,"Kibera, Nairobi, Kenya"," There are boys who like disturbing me and touching my private parts  
						  More Information »
« Less Information
","13:00 Dec 08, 2018"
Touching /Groping,"Kibera, Nairobi, Kenya"," I have a boyfriend who likes touching me every time have been sent to the shop and tells me to go to his place , I don't like what he is doing...  
						  More Information »
« Less Information
","13:00 Dec 08, 2018"
Sexual Invites,"Kibera, Nairobi, Kenya"," In our school there is a male teacher who follows pupils and starts touching them  
						  More Information »
« Less Information
","13:00 Dec 08, 2018"
Sexual Invites,"Olympic ,Kibera Nairobi, Kenya"," A girl says there is a boy disturbing him at home  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Sexual Invites,"Olympic ,Kibera Nairobi, Kenya"," A girl says there is a boy disturbing him at home  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Sexual Invites,"Olympic ,Kibera Nairobi, Kenya"," A girl says there is a boy disturbing him at home  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," As girls we go through many things .A teacher in a school at Laini Saba takes advantage of girls.please help us  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Catcalls/Whistles,"Kibera slum, Nairobi, Kenya"," A girl says when she is walking  boys call her and if she refuses they want to beat her  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Rape / Sexual Assault,"Kibera slum, Nairobi, Kenya"," A girl says that her friend was raped and now she is HIV positive and she is asking  if someone has been raped are they not suppose to remove...  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Indecent exposure,"Kibera slum, Nairobi, Kenya"," A girl says she has four girls and they are her friends and classmates.They all have boyfriends .They usually ask her why she doesn't have and...  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," A girl says she needs help where she lives there are boys who are disturbing her every time and she also wants mentorship  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Commenting,"Kibera slum, Nairobi, Kenya"," Harassment from boys and and grown men who fit to be your grand father or father .Men do harass small children  by threatening them and taking...  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Sexual Invites,"Kibera slum, Nairobi, Kenya"," A girl says that there is a boy who disturbs her and wants her to be her girlfriend and always calls her babe  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Catcalls/Whistles,"Kibera slum, Nairobi, Kenya"," A girl says where she lives there a person who does sex and calls her beutiful  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Touching /Groping,"Kibera slum, Nairobi, Kenya"," There is a  boy classmate who loves touching in their private parts and threatens them not to say anything to the teacher .  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
Commenting,"Kibera slum, Nairobi, Kenya"," A girl says that her neighbor wanted to have sex with his child but the child reported him and he was caught  
						  More Information »
« Less Information
","12:49 Dec 08, 2018"
